Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
2,Meteng Wak,F,,SBD,Raw,75,140,50,160,350,
1,Sandra Grice,F,,SBD,Raw,75,90,70,130,290,
1,Julie Deakin,F,,SBD,Raw,82.5,177.5,80,205,462.5,
2,Hetutu Speedo,M,,SBD,Raw,110,175,140,250,565,
4,Tomaakino Gahetayl,M,,SBD,Raw,110,200,147.5,232.5,580,
1,Phillip Maihana,M,,SBD,Raw,110,210,120,225,555,
3,Timmy Denuga,M,,SBD,Raw,110,235,135,220,590,
1,Viliami Veijune,M,,SBD,Raw,110,245,175,255,675,
3,Steve Giffin,M,,SBD,Raw,110,265,180,270,715,
2,Steve Lousich,M,,SBD,Raw,110,305,210,265,780,
1,Pat Whymark,M,,SBD,Raw,110,305,177.5,280,762.5,
4,Andrew Logan,M,,SBD,Raw,110,317.5,180,312.5,810,
2,Siolei Tupoli,M,,SBD,Raw,125,200,150,240,590,
3,Victor Burtt,M,,SBD,Raw,125,240,120,230,590,
1,Gregory Marini,M,,SBD,Raw,125,310,170,290,770,
4,Peter Smith,M,,SBD,Raw,125,310,170,330,810,
2,Laurence Heffernan,M,,SBD,Raw,125,290,175,280,745,
1,Gary Roberts,M,,SBD,Raw,125,325,172.5,275,772.5,
1,Derek Pomana,M,,SBD,Raw,125,365,212.5,325,902.5,
4,Daniel Soloman,M,,SBD,Raw,125+,300,245,280,825,
1,Willie Tau,M,,SBD,Raw,125+,275,180,240,695,
1,Bradley Horne,M,,SBD,Raw,125+,342.5,200,325,867.5,
2,Robert Dabwido,M,,SBD,Raw,125+,350,245,280,875,
1,Wayne Pomana,M,,SBD,Raw,125+,380,237.5,305,922.5,
